years after 1958,decimal date,CO2 average,deseasonalized,ndays,sdev,unc
0.25,1958.2027,315.71,314.44,-1,-9.99,-0.99
0.333333333,1958.2877,317.45,315.16,-1,-9.99,-0.99
0.416666667,1958.3699,317.51,314.69,-1,-9.99,-0.99
0.5,1958.4548,317.27,315.15,-1,-9.99,-0.99
0.583333333,1958.537,315.87,315.2,-1,-9.99,-0.99
0.666666667,1958.6219,314.93,316.21,-1,-9.99,-0.99
0.75,1958.7068,313.21,316.11,-1,-9.99,-0.99
0.833333333,1958.789,312.42,315.41,-1,-9.99,-0.99
0.916666667,1958.874,313.33,315.21,-1,-9.99,-0.99
1,1958.9562,314.67,315.43,-1,-9.99,-0.99
1.083333333,1959.0411,315.58,315.52,-1,-9.99,-0.99
1.166666667,1959.126,316.49,315.84,-1,-9.99,-0.99
1.25,1959.2027,316.65,315.37,-1,-9.99,-0.99
1.333333333,1959.2877,317.72,315.42,-1,-9.99,-0.99
1.416666667,1959.3699,318.29,315.46,-1,-9.99,-0.99
1.5,1959.4548,318.15,316,-1,-9.99,-0.99
1.583333333,1959.537,316.54,315.87,-1,-9.99,-0.99
1.666666667,1959.6219,314.8,316.09,-1,-9.99,-0.99
1.75,1959.7068,313.84,316.75,-1,-9.99,-0.99
1.833333333,1959.789,313.33,316.34,-1,-9.99,-0.99
1.916666667,1959.874,314.81,316.69,-1,-9.99,-0.99
2,1959.9562,315.58,316.35,-1,-9.99,-0.99
2.083333333,1960.041,316.43,316.38,-1,-9.99,-0.99
2.166666667,1960.1257,316.98,316.33,-1,-9.99,-0.99
2.25,1960.2049,317.58,316.27,-1,-9.99,-0.99
2.333333333,1960.2896,319.03,316.7,-1,-9.99,-0.99
2.416666667,1960.3716,320.03,317.19,-1,-9.99,-0.99
2.5,1960.4563,319.58,317.45,-1,-9.99,-0.99
2.583333333,1960.5383,318.18,317.54,-1,-9.99,-0.99
2.666666667,1960.623,315.9,317.22,-1,-9.99,-0.99
2.75,1960.7077,314.17,317.1,-1,-9.99,-0.99
2.833333333,1960.7896,313.83,316.85,-1,-9.99,-0.99
2.916666667,1960.8743,315,316.89,-1,-9.99,-0.99
3,1960.9563,316.19,316.96,-1,-9.99,-0.99
3.083333333,1961.0411,316.89,316.84,-1,-9.99,-0.99
3.166666667,1961.126,317.7,317.05,-1,-9.99,-0.99
3.25,1961.2027,318.54,317.25,-1,-9.99,-0.99
3.333333333,1961.2877,319.48,317.16,-1,-9.99,-0.99
3.416666667,1961.3699,320.58,317.73,-1,-9.99,-0.99
3.5,1961.4548,319.77,317.61,-1,-9.99,-0.99
3.583333333,1961.537,318.56,317.89,-1,-9.99,-0.99
3.666666667,1961.6219,316.79,318.09,-1,-9.99,-0.99
3.75,1961.7068,314.99,317.92,-1,-9.99,-0.99
3.833333333,1961.789,315.31,318.34,-1,-9.99,-0.99
3.916666667,1961.874,316.1,318,-1,-9.99,-0.99
4,1961.9562,317.01,317.78,-1,-9.99,-0.99
4.083333333,1962.0411,317.94,317.89,-1,-9.99,-0.99
4.166666667,1962.126,318.55,317.89,-1,-9.99,-0.99
4.25,1962.2027,319.68,318.39,-1,-9.99,-0.99
4.333333333,1962.2877,320.57,318.24,-1,-9.99,-0.99
4.416666667,1962.3699,321.02,318.16,-1,-9.99,-0.99
4.5,1962.4548,320.62,318.45,-1,-9.99,-0.99
4.583333333,1962.537,319.61,318.94,-1,-9.99,-0.99
4.666666667,1962.6219,317.4,318.71,-1,-9.99,-0.99
4.75,1962.7068,316.24,319.18,-1,-9.99,-0.99
4.833333333,1962.789,315.42,318.46,-1,-9.99,-0.99
4.916666667,1962.874,316.69,318.59,-1,-9.99,-0.99
5,1962.9562,317.7,318.47,-1,-9.99,-0.99
5.083333333,1963.0411,318.74,318.69,-1,-9.99,-0.99
5.166666667,1963.126,319.07,318.41,-1,-9.99,-0.99
5.25,1963.2027,319.86,318.57,-1,-9.99,-0.99
5.333333333,1963.2877,321.38,319.05,-1,-9.99,-0.99
5.416666667,1963.3699,322.24,319.38,-1,-9.99,-0.99
5.5,1963.4548,321.49,319.31,-1,-9.99,-0.99
5.583333333,1963.537,319.74,319.07,-1,-9.99,-0.99
5.666666667,1963.6219,317.77,319.07,-1,-9.99,-0.99
5.75,1963.7068,316.21,319.16,-1,-9.99,-0.99
5.833333333,1963.789,315.99,319.03,-1,-9.99,-0.99
5.916666667,1963.874,317.07,318.98,-1,-9.99,-0.99
6,1963.9562,318.35,319.13,-1,-9.99,-0.99
6.083333333,1964.041,319.57,319.52,-1,-9.99,-0.99
6.166666667,1964.1257,320.04,319.37,-1,-9.99,-0.99
6.25,1964.2049,320.75,319.41,-1,-9.99,-0.99
6.333333333,1964.2896,321.84,319.46,-1,-9.99,-0.99
6.416666667,1964.3716,322.25,319.37,-1,-9.99,-0.99
6.5,1964.4563,321.89,319.73,-1,-9.99,-0.99
6.583333333,1964.5383,320.44,319.79,-1,-9.99,-0.99
6.666666667,1964.623,318.69,320.03,-1,-9.99,-0.99
6.75,1964.7077,316.71,319.67,-1,-9.99,-0.99
6.833333333,1964.7896,316.87,319.93,-1,-9.99,-0.99
6.916666667,1964.8743,317.68,319.59,-1,-9.99,-0.99
7,1964.9563,318.71,319.49,-1,-9.99,-0.99
7.083333333,1965.0411,319.44,319.38,-1,-9.99,-0.99
7.166666667,1965.126,320.44,319.79,-1,-9.99,-0.99
7.25,1965.2027,320.89,319.59,-1,-9.99,-0.99
7.333333333,1965.2877,322.14,319.79,-1,-9.99,-0.99
7.416666667,1965.3699,322.17,319.28,-1,-9.99,-0.99
7.5,1965.4548,321.87,319.68,-1,-9.99,-0.99
7.583333333,1965.537,321.21,320.53,-1,-9.99,-0.99
7.666666667,1965.6219,318.87,320.18,-1,-9.99,-0.99
7.75,1965.7068,317.82,320.78,-1,-9.99,-0.99
7.833333333,1965.789,317.3,320.37,-1,-9.99,-0.99
7.916666667,1965.874,318.87,320.79,-1,-9.99,-0.99
8,1965.9562,319.42,320.2,-1,-9.99,-0.99
8.083333333,1966.0411,320.62,320.57,-1,-9.99,-0.99
8.166666667,1966.126,321.6,320.94,-1,-9.99,-0.99
8.25,1966.2027,322.39,321.08,-1,-9.99,-0.99
8.333333333,1966.2877,323.7,321.34,-1,-9.99,-0.99
8.416666667,1966.3699,324.08,321.18,-1,-9.99,-0.99
8.5,1966.4548,323.75,321.55,-1,-9.99,-0.99
8.583333333,1966.537,322.37,321.69,-1,-9.99,-0.99
8.666666667,1966.6219,320.36,321.68,-1,-9.99,-0.99
8.75,1966.7068,318.64,321.61,-1,-9.99,-0.99
8.833333333,1966.789,318.1,321.18,-1,-9.99,-0.99
8.916666667,1966.874,319.78,321.71,-1,-9.99,-0.99
9,1966.9562,321.02,321.81,-1,-9.99,-0.99
9.083333333,1967.0411,322.33,322.28,-1,-9.99,-0.99
9.166666667,1967.126,322.5,321.83,-1,-9.99,-0.99
